ruby-ncursesw 1.4.4-1
ruby-rmail-sup 1.0.1-1
ruby-trollop 2.0-1
ruby-unicode 0.4.4-1
ruby-xapian-ruby 1.2.17-1
run-parts 4.4-1
rxvt-unicode-patched 9.19-1
rxvt-unicode-terminfo 9.20-2
s-nail 14.7-1
samba 4.1.8-1
sbc 1.2-1
schroedinger 1.0.11-2
scons 2.3.1-1
scrnsaverproto 1.2.2-1
sdl 1.2.15-6
sdl_image 1.2.12-3
sdl_mixer 1.2.12-3
sdl_ttf 2.0.11-2
sed 4.2.2-3
shadow 4.2.1-1
shared-mime-info 1.3-1
simplescreenrecorder 0.2.2-1
sip 4.15.5-2
slang 2.2.4-3
slock 1.1-1
smbclient 4.1.8-1
smpeg 0.4.5-1
snappy 1.1.1-1
sound-theme-freedesktop 0.8-2
source-highlight 3.1.7-9
speech-dispatcher 0.8-3
speex 1.2rc1-4
sqlite 3.8.5-1
ssmtp 2.64-5
startup-notification 0.12-4
stfl 0.22-2
sudo 1.8.10.p3-1
sup-git 120.gd684b12-1
surf 0.6-2
sxiv 1.2-1
sysfsutils 2.1.0-8
systemd 213-6
systemd-sysvcompat 213-6
t1lib 5.1.2-5
talloc 2.1.0-2
tar 1.27.1-1
tdb 1.2.12-1
telepathy-glib 0.24.0-1
telepathy-logger 0.8.0-2
telepathy-mission-control 5.16.2-1
tevent 0.9.21-3
texinfo 5.2-2
texlive-bibtexextra 2013.33039-1
texlive-bin 2013.30973-10
texlive-core 2013.33063-1
texlive-fontsextra 2013.33010-1
texlive-formatsextra 2013.31958-1
texlive-games 2013.32919-1
texlive-genericextra 2013.32809-1
texlive-htmlxml 2013.33024-1
texlive-humanities 2013.33061-1
texlive-latexextra 2013.33063-1
texlive-music 2013.32525-1
texlive-pictures 2013.33045-1
texlive-plainextra 2013.32911-1
texlive-pstricks 2013.33056-1
texlive-publishers 2013.33042-1
texlive-science 2013.32850-1
tmux 1.9_a-1
tor 0.2.4.23-1
torsocks 1.3-5
ttf-dejavu 2.34-1
ttf-powerline-fonts-git 20140314-1
twmn-git 134.9f52882-2
tzdata 2014d-1
univga 1.0-4
unoconv 0.6-3
unrar 1:5.1.5-1
unzip 6.0-6
upower 0.99.0-2
usbutils 007-1
util-linux 2.24.2-1
v4l-utils 1.0.1-1
vi 1:050325-3
